64.536583:0.000537 236.634140:0.004686 387.219513:0.000646 473.268280:0.000779 645.365845:0.000176 688.390259:0.000181 882.000000:0.000052 946.536560:0.000060 1032.585327:0.000015 1097.121948:0.000021 1204.682983:0.000020 1419.804932:0.000015 4711.170898:0.000011 9572.926758:0.000012 9788.048828:0.000012 10067.707031:0.000015 
107.560974:0.000012 172.097565:0.000020 301.170746:0.000020 387.219513:0.000039 451.756104:0.000061 559.317078:0.000017 623.853638:0.000008 666.878052:0.000009 731.414612:0.000011 882.000000:0.000013 968.048767:0.000017 1054.097534:0.000013 1312.243896:0.000014 1376.780518:0.000011 1807.024414:0.000014 2043.658569:0.000008 
172.097565:0.000016 322.682922:0.000023 387.219513:0.000039 451.756104:0.000062 559.317078:0.000020 666.878052:0.000011 731.414612:0.000010 882.000000:0.000015 968.048767:0.000010 1097.121948:0.000014 1312.243896:0.000014 1376.780518:0.000011 1484.341431:0.000008 1807.024414:0.000013 2000.634155:0.000009 2043.658569:0.000008 
129.073166:0.000009 172.097565:0.000011 301.170746:0.000023 387.219513:0.000032 451.756104:0.000055 559.317078:0.000018 666.878052:0.000011 752.926819:0.000010 882.000000:0.000016 968.048767:0.000009 1054.097534:0.000013 1097.121948:0.000017 1312.243896:0.000012 1376.780518:0.000011 1548.878052:0.000009 1807.024414:0.000010 
301.170746:0.000021 387.219513:0.000022 473.268280:0.000052 537.804871:0.000018 580.829285:0.000011 752.926819:0.000010 882.000000:0.000016 989.560974:0.000009 1054.097534:0.000018 1097.121948:0.000019 1290.731689:0.000010 1376.780518:0.000010 1548.878052:0.000011 1785.512207:0.000010 1914.585327:0.000009 2495.414551:0.000010 
86.048782:0.000009 236.634140:0.000010 301.170746:0.000018 387.219513:0.000018 473.268280:0.000041 537.804871:0.000021 580.829285:0.000014 623.853638:0.000012 752.926819:0.000009 903.512207:0.000016 968.048767:0.000009 1054.097534:0.000024 1097.121948:0.000021 1548.878052:0.000013 2065.170654:0.000009 2473.902344:0.000013 
236.634140:0.000131 387.219513:0.000029 451.756104:0.000040 494.780487:0.000028 580.829285:0.000024 752.926819:0.000008 838.975586:0.000007 903.512207:0.000018 946.536560:0.000014 1054.097534:0.000026 1548.878052:0.000015 2043.658569:0.000012 2473.902344:0.000012 2538.438965:0.000008 2968.682861:0.000008 4022.780518:0.000008 
43.024391:0.000086 86.048782:0.000059 215.121948:0.000991 344.195129:0.000090 430.243896:0.000134 516.292664:0.000022 559.317078:0.000036 602.341492:0.000037 709.902466:0.000017 752.926819:0.000011 838.975586:0.000015 946.536560:0.000019 1011.073181:0.000025 1548.878052:0.000015 2043.658569:0.000012 2495.414551:0.000009 
215.121948:0.005189 430.243896:0.001122 645.365845:0.000240 838.975586:0.000095 903.512207:0.000045 946.536560:0.000035 1011.073181:0.000040 1054.097534:0.000020 1118.634155:0.000017 1290.731689:0.000009 1441.317017:0.000009 1548.878052:0.000013 2022.146362:0.000010 2516.926758:0.000009 3528.000000:0.000008 9594.439453:0.000011 
43.024391:0.001272 215.121948:0.020078 430.243896:0.007878 623.853638:0.001950 817.463440:0.000387 946.536560:0.000097 1011.073181:0.000080 1140.146362:0.000048 1290.731689:0.000019 1441.317017:0.000014 1527.365845:0.000019 1656.438965:0.000011 1957.609741:0.000010 2516.926758:0.000013 5786.780273:0.000010 9594.439453:0.000015 
43.024391:0.002730 215.121948:0.056008 430.243896:0.030364 623.853638:0.008317 817.463440:0.000976 925.024414:0.000605 1011.073181:0.000484 1161.658569:0.000277 1419.804932:0.000060 1505.853638:0.000036 1785.512207:0.000019 4173.365723:0.000024 4280.926758:0.000033 4345.463379:0.000026 4388.487793:0.000022 9594.439453:0.000021 
43.024391:0.004168 215.121948:0.118789 430.243896:0.077933 623.853638:0.022733 774.439026:0.002191 838.975586:0.002158 903.512207:0.001305 989.560974:0.001405 1140.146362:0.000687 1226.195068:0.000569 1419.804932:0.000204 3614.048828:0.000064 4151.853516:0.000083 4280.926758:0.000140 7851.951172:0.000064 8045.561035:0.000063 
21.512196:0.004318 64.536583:0.004483 129.073166:0.003035 215.121948:0.204562 344.195129:0.002579 430.243896:0.152805 645.365845:0.046996 774.439026:0.003790 860.487793:0.005495 946.536560:0.002877 1032.585327:0.002633 1140.146362:0.001149 1247.707275:0.001335 1441.317017:0.000512 4022.780518:0.000298 4280.926758:0.000335 
21.512196:0.004690 64.536583:0.004149 215.121948:0.301773 430.243896:0.247565 645.365845:0.084365 752.926819:0.006945 860.487793:0.012547 946.536560:0.004379 1032.585327:0.004987 1161.658569:0.001705 1247.707275:0.002400 1333.756104:0.000679 1441.317017:0.000761 3872.195068:0.000639 4044.292725:0.000737 8067.073242:0.000657 
21.512196:0.004868 86.048782:0.005663 215.121948:0.396623 322.682922:0.003160 430.243896:0.348345 494.780487:0.009560 645.365845:0.133059 709.902466:0.007388 752.926819:0.008259 838.975586:0.025741 946.536560:0.006143 1032.585327:0.008403 1161.658569:0.002595 1247.707275:0.003514 4194.877930:0.001450 4474.536621:0.001217 
21.512196:0.004779 86.048782:0.005908 215.121948:0.478818 344.195129:0.006075 430.243896:0.440408 645.365845:0.191116 752.926819:0.009986 838.975586:0.047232 1032.585327:0.012923 1161.658569:0.003041 1247.707275:0.004100 3592.536621:0.001809 4194.877930:0.002713 4453.024414:0.002242 8002.536621:0.001763 9658.975586:0.001831 
43.024391:0.005315 107.560974:0.006411 215.121948:0.542347 430.243896:0.514555 645.365845:0.253459 731.414612:0.008228 838.975586:0.077383 1054.097534:0.021591 1161.658569:0.002805 1269.219482:0.005052 3592.536621:0.002559 4194.877930:0.004301 4345.463379:0.003450 4453.024414:0.003740 8002.536621:0.002511 9658.975586:0.002676 
43.024391:0.006658 86.048782:0.008499 215.121948:0.582619 430.243896:0.566900 645.365845:0.310089 731.414612:0.008462 838.975586:0.117696 946.536560:0.004358 1054.097534:0.035209 1269.219482:0.005986 3571.024414:0.003889 4194.877930:0.005670 4366.975586:0.005681 4453.024414:0.006101 7765.902344:0.003182 9658.975586:0.003572 
86.048782:0.012222 215.121948:0.594148 301.170746:0.003980 430.243896:0.595424 645.365845:0.347805 838.975586:0.170139 1054.097534:0.054009 1269.219482:0.006617 3355.902344:0.004674 3549.512207:0.004653 4108.829102:0.004927 4194.877930:0.006932 4323.951172:0.005730 4388.487793:0.007751 4453.024414:0.008616 7765.902344:0.004060 
64.536583:0.016099 215.121948:0.578395 430.243896:0.604111 623.853638:0.386265 838.975586:0.230924 1054.097534:0.078211 1247.707275:0.009948 3355.902344:0.006569 3549.512207:0.007251 3936.731689:0.006295 4044.292725:0.007075 4130.341309:0.007770 4194.877930:0.008355 4323.951172:0.007703 4388.487793:0.011060 4453.024414:0.011186 
64.536583:0.017210 215.121948:0.545866 344.195129:0.013789 430.243896:0.600578 623.853638:0.455425 838.975586:0.290428 903.512207:0.009066 1054.097534:0.104962 1247.707275:0.014753 3528.000000:0.009139 3936.731689:0.008945 4065.804932:0.010843 4130.341309:0.010351 4302.438965:0.010061 4388.487793:0.013018 4453.024414:0.013078 
64.536583:0.015260 215.121948:0.508724 322.682922:0.012165 408.731720:0.620453 494.780487:0.010340 623.853638:0.510284 838.975586:0.336847 1054.097534:0.127514 1247.707275:0.019643 3506.487793:0.011342 3936.731689:0.010045 4065.804932:0.012561 4173.365723:0.011397 4302.438965:0.012176 4388.487793:0.012471 4453.024414:0.013186 
64.536583:0.011128 215.121948:0.471926 301.170746:0.013816 408.731720:0.646004 623.853638:0.546772 838.975586:0.361549 1032.585327:0.169134 1247.707275:0.023990 3291.365967:0.011187 3506.487793:0.014944 4087.317139:0.010624 4151.853516:0.010780 4194.877930:0.010545 4237.902344:0.011714 4302.438965:0.012074 4474.536621:0.014633 
215.121948:0.433249 322.682922:0.011053 408.731720:0.658050 623.853638:0.555049 817.463440:0.357585 1032.585327:0.207257 1226.195068:0.030939 1441.317017:0.011145 3291.365967:0.012831 3506.487793:0.014908 3635.561035:0.009320 4108.829102:0.012642 4216.390137:0.015134 4280.926758:0.011100 4474.536621:0.014298 4625.122070:0.009136 
215.121948:0.390474 408.731720:0.656139 623.853638:0.523734 817.463440:0.404474 1032.585327:0.224032 1226.195068:0.044996 1419.804932:0.014290 3291.365967:0.011782 3420.438965:0.011751 3484.975586:0.014719 3657.073242:0.010771 4108.829102:0.015236 4216.390137:0.020897 4345.463379:0.010741 4453.024414:0.016043 4625.122070:0.010390 
21.512196:0.009898 193.609756:0.379758 408.731720:0.637655 602.341492:0.504468 817.463440:0.409592 1011.073181:0.223518 1226.195068:0.060627 1419.804932:0.021854 1613.414673:0.010042 3205.317139:0.012115 3420.438965:0.015344 3484.975586:0.012786 4108.829102:0.015997 4216.390137:0.024895 4345.463379:0.012342 4453.024414:0.016474 
43.024391:0.013556 193.609756:0.383509 408.731720:0.604177 602.341492:0.556954 731.414612:0.010318 817.463440:0.366298 1011.073181:0.248012 1226.195068:0.076320 1419.804932:0.030946 1613.414673:0.015797 3205.317139:0.019518 3398.926758:0.024028 4108.829102:0.014151 4216.390137:0.027060 4345.463379:0.012355 4453.024414:0.014786 
43.024391:0.017771 193.609756:0.385203 408.731720:0.560351 602.341492:0.585138 688.390259:0.012828 795.951233:0.342549 1011.073181:0.238702 1204.682983:0.096274 1398.292725:0.043252 1591.902466:0.024468 1807.024414:0.012302 3183.804932:0.025943 3398.926758:0.029475 4130.341309:0.011874 4216.390137:0.025987 4474.536621:0.012898 
43.024391:0.019138 193.609756:0.385514 408.731720:0.512104 602.341492:0.593369 795.951233:0.333945 1011.073181:0.201632 1204.682983:0.116476 1398.292725:0.061368 1591.902466:0.038012 1785.512207:0.017976 2990.195068:0.012174 3183.804932:0.034543 3377.414551:0.033312 4216.390137:0.021102 4366.975586:0.012077 5593.170898:0.013238 
43.024391:0.017596 193.609756:0.386275 408.731720:0.465223 602.341492:0.580761 795.951233:0.308182 989.560974:0.154571 1204.682983:0.120973 1398.292725:0.074041 1591.902466:0.051429 1785.512207:0.027989 1979.121948:0.016039 2968.682861:0.016497 3162.292725:0.040296 3377.414551:0.036875 4216.390137:0.014647 5571.658691:0.014507 
43.024391:0.014340 193.609756:0.388953 387.219513:0.469336 602.341492:0.548457 795.951233:0.277818 989.560974:0.143663 1204.682983:0.106119 1398.292725:0.075578 1591.902466:0.060825 1785.512207:0.039775 1979.121948:0.024602 2968.682861:0.021640 3162.292725:0.049681 3377.414551:0.034330 4151.853516:0.014354 4366.975586:0.014279 
21.512196:0.013081 193.609756:0.393861 387.219513:0.485052 602.341492:0.509726 795.951233:0.247518 989.560974:0.124105 1183.170776:0.084862 1398.292725:0.065268 1591.902466:0.061815 1807.024414:0.051949 1979.121948:0.031507 2968.682861:0.023680 3162.292725:0.049537 3355.902344:0.031070 4151.853516:0.015115 4366.975586:0.013573 
21.512196:0.015116 193.609756:0.402042 387.219513:0.494934 602.341492:0.471733 795.951233:0.214512 989.560974:0.101621 1183.170776:0.066375 1398.292725:0.047692 1613.414673:0.061811 1807.024414:0.062612 2000.634155:0.037340 2968.682861:0.021993 3162.292725:0.040494 3377.414551:0.023735 3958.243896:0.013495 4151.853516:0.012348 
43.024391:0.016600 193.609756:0.411979 387.219513:0.490965 602.341492:0.425997 795.951233:0.173937 989.560974:0.077898 1204.682983:0.044317 1398.292725:0.029697 1613.414673:0.055698 1720.975586:0.013120 1807.024414:0.061065 2000.634155:0.035998 2990.195068:0.017915 3183.804932:0.032039 3377.414551:0.016110 3958.243896:0.011588 
43.024391:0.018456 193.609756:0.417178 387.219513:0.462722 473.268280:0.012495 602.341492:0.361964 795.951233:0.127659 1011.073181:0.055597 1204.682983:0.032907 1398.292725:0.016070 1613.414673:0.042611 1720.975586:0.018133 1807.024414:0.047086 2022.146362:0.032750 2215.756104:0.012040 2990.195068:0.012785 3183.804932:0.021511 
21.512196:0.018444 193.609756:0.407847 387.219513:0.403247 602.341492:0.282740 795.951233:0.084495 1011.073181:0.041055 1204.682983:0.021650 1613.414673:0.026676 1720.975586:0.018834 1828.536621:0.031087 1893.073120:0.015501 2022.146362:0.024396 2086.682861:0.013659 2215.756104:0.009543 3183.804932:0.010975 3226.829346:0.011321 
21.512196:0.016877 193.609756:0.377547 408.731720:0.339388 473.268280:0.008258 602.341492:0.202322 795.951233:0.051005 1011.073181:0.025758 1204.682983:0.012252 1634.926880:0.016672 1720.975586:0.015817 1828.536621:0.017149 1914.585327:0.011340 2043.658569:0.014626 2086.682861:0.011135 2194.243896:0.006334 3248.341553:0.007281 
21.512196:0.013850 193.609756:0.329363 408.731720:0.271661 602.341492:0.135158 817.463440:0.030585 1011.073181:0.014503 1075.609741:0.003771 1226.195068:0.006974 1634.926880:0.010184 1720.975586:0.009800 1828.536621:0.008879 1914.585327:0.007014 2043.658569:0.008821 2086.682861:0.006728 2194.243896:0.005077 2258.780518:0.003505 
21.512196:0.009422 107.560974:0.002965 193.609756:0.274002 408.731720:0.200537 516.292664:0.004266 602.341492:0.087970 817.463440:0.016893 968.048767:0.003120 1011.073181:0.008363 1226.195068:0.004090 1634.926880:0.005544 1742.487793:0.005000 1828.536621:0.006157 1914.585327:0.003823 2043.658569:0.005974 2194.243896:0.003435 
21.512196:0.006030 193.609756:0.221722 408.731720:0.138648 494.780487:0.002925 602.341492:0.058632 817.463440:0.008561 946.536560:0.002228 1011.073181:0.005321 1226.195068:0.001928 1613.414673:0.003398 1828.536621:0.004217 1936.097534:0.002510 1979.121948:0.001683 2043.658569:0.003425 2129.707275:0.001525 2194.243896:0.002337 
21.512196:0.004044 193.609756:0.178310 408.731720:0.093065 602.341492:0.040948 817.463440:0.004272 946.536560:0.001861 1011.073181:0.003133 1613.414673:0.001943 1828.536621:0.002293 1936.097534:0.001930 2022.146362:0.002194 9271.755859:0.001912 9422.341797:0.001952 9572.926758:0.002181 9831.073242:0.002633 9981.658203:0.001715 
193.609756:0.143948 408.731720:0.062172 602.341492:0.029792 7679.853516:0.003094 7851.951172:0.003503 8088.585449:0.004606 8432.780273:0.003754 8604.877930:0.003394 8884.536133:0.003608 9121.170898:0.002751 9271.755859:0.004814 9422.341797:0.006462 9572.926758:0.008910 9658.975586:0.005474 9831.073242:0.008750 10003.170898:0.004838 
193.609756:0.113172 408.731720:0.041615 602.341492:0.021331 8088.585449:0.011694 8346.731445:0.009615 8389.755859:0.009434 8475.804688:0.010267 8884.536133:0.009025 9164.195312:0.010252 9271.755859:0.010559 9357.804688:0.011573 9443.853516:0.011950 9572.926758:0.021264 9680.488281:0.013538 9831.073242:0.015283 9981.658203:0.009689 
193.609756:0.081634 408.731720:0.027332 7959.512207:0.019665 8067.073242:0.022274 8260.682617:0.021521 8346.731445:0.023469 8389.755859:0.025686 8475.804688:0.019882 8776.975586:0.022488 9164.195312:0.022969 9357.804688:0.021373 9443.853516:0.019516 9572.926758:0.032649 9680.488281:0.024491 9766.536133:0.022363 9852.584961:0.022010 
193.609756:0.049967 7830.438965:0.032984 7981.024414:0.030841 8067.073242:0.032938 8174.634277:0.030571 8282.195312:0.045238 8389.755859:0.042135 8583.366211:0.031298 8626.390625:0.036656 8776.975586:0.040120 9164.195312:0.036006 9357.804688:0.032384 9443.853516:0.026404 9551.415039:0.042477 9680.488281:0.038257 9766.536133:0.042962 
7830.438965:0.044575 7981.024414:0.039199 8045.561035:0.043079 8153.122070:0.051907 8282.195312:0.068124 8368.244141:0.048813 8411.268555:0.050969 8518.829102:0.033999 8626.390625:0.057708 8776.975586:0.053935 9164.195312:0.042099 9357.804688:0.043311 9443.853516:0.034538 9551.415039:0.046526 9680.488281:0.049481 9766.536133:0.060379 
7830.438965:0.048099 7981.024414:0.040807 8045.561035:0.045770 8153.122070:0.066019 8260.682617:0.083984 8368.244141:0.056400 8432.780273:0.063586 8518.829102:0.043345 8583.366211:0.071419 8776.975586:0.053024 9357.804688:0.051388 9443.853516:0.044178 9551.415039:0.040501 9680.488281:0.050621 9766.536133:0.064443 10024.682617:0.038694 
7830.438965:0.040960 8045.561035:0.039358 8131.609863:0.061562 8260.682617:0.086969 8368.244141:0.062643 8411.268555:0.066348 8583.366211:0.078491 8669.415039:0.049826 8755.463867:0.049454 9078.146484:0.047530 9357.804688:0.055428 9443.853516:0.054753 9572.926758:0.039634 9680.488281:0.039737 9745.024414:0.055502 10024.682617:0.040816 
6130.975586:0.042973 8131.609863:0.052944 8174.634277:0.046739 8260.682617:0.072711 8368.244141:0.063429 8411.268555:0.071252 8561.853516:0.081008 8626.390625:0.036938 8690.926758:0.047610 8755.463867:0.037322 8863.024414:0.040767 9078.146484:0.043892 9357.804688:0.052166 9443.853516:0.059822 9594.439453:0.042346 9745.024414:0.045256 
344.195129:0.078451 4582.097656:0.029967 6066.438965:0.031559 6130.975586:0.040698 8131.609863:0.038772 8174.634277:0.033796 8260.682617:0.048230 8389.755859:0.072714 8561.853516:0.073233 8690.926758:0.037931 8863.024414:0.036644 9078.146484:0.030761 9357.804688:0.042368 9443.853516:0.055133 9594.439453:0.041644 9745.024414:0.030463 
344.195129:0.220188 666.878052:0.041674 2452.390137:0.028344 2581.463379:0.024214 4582.097656:0.028893 5872.829102:0.022896 6109.463379:0.029730 8131.609863:0.027980 8196.146484:0.026713 8260.682617:0.026023 8389.755859:0.059417 8540.341797:0.047869 8712.439453:0.024848 8863.024414:0.028230 9443.853516:0.040709 9615.951172:0.033181 
193.609756:0.019252 344.195129:0.419702 688.390259:0.096174 2387.853760:0.021114 2452.390137:0.034230 2516.926758:0.027045 2581.463379:0.021822 2710.536621:0.019875 4603.609863:0.022908 6066.438965:0.019503 8131.609863:0.020271 8389.755859:0.034994 8540.341797:0.023954 9422.341797:0.026446 9572.926758:0.018400 9615.951172:0.020981 
193.609756:0.020567 344.195129:0.612817 688.390259:0.196784 1011.073181:0.033092 2022.146362:0.015879 2387.853760:0.024374 2473.902344:0.038729 2538.438965:0.041728 2710.536621:0.027939 2947.170654:0.021041 3054.731689:0.028203 3119.268311:0.018771 3528.000000:0.019362 4474.536621:0.014414 8389.755859:0.015621 8454.292969:0.017080 
193.609756:0.017284 344.195129:0.727950 688.390259:0.328164 774.439026:0.018059 1011.073181:0.059258 1699.463379:0.017466 2022.146362:0.030658 2366.341553:0.032670 2473.902344:0.038434 2559.951172:0.060486 2710.536621:0.038485 2947.170654:0.026321 3054.731689:0.039968 3119.268311:0.021307 3291.365967:0.018793 3528.000000:0.022853 
279.658539:0.033086 344.195129:0.731013 688.390259:0.463754 1032.585327:0.090642 1355.268311:0.023752 1699.463379:0.028520 2043.658569:0.051188 2366.341553:0.051777 2473.902344:0.032119 2559.951172:0.072105 2710.536621:0.046376 2818.097656:0.021366 2925.658447:0.026658 3054.731689:0.047755 3291.365967:0.021175 3549.512207:0.023988 
21.512196:0.021129 344.195129:0.649487 688.390259:0.576793 1032.585327:0.139397 1355.268311:0.029622 1699.463379:0.043012 2043.658569:0.085751 2387.853760:0.078668 2473.902344:0.022418 2559.951172:0.066991 2710.536621:0.044590 2818.097656:0.023905 2925.658447:0.026663 3033.219482:0.045874 3269.853760:0.019383 3549.512207:0.020705 
21.512196:0.021616 344.195129:0.546006 688.390259:0.658405 1032.585327:0.200874 1355.268311:0.037263 1699.463379:0.066573 2043.658569:0.118365 2387.853760:0.096482 2559.951172:0.047017 2732.048828:0.044015 2818.097656:0.022448 2861.122070:0.018344 2925.658447:0.023621 2968.682861:0.018373 3033.219482:0.041341 3226.829346:0.020208 
21.512196:0.021373 344.195129:0.458205 688.390259:0.701640 1032.585327:0.270278 1355.268311:0.051739 1699.463379:0.095431 2022.146362:0.154126 2387.853760:0.091635 2559.951172:0.023846 2602.975586:0.020663 2732.048828:0.042506 2882.634033:0.020121 2925.658447:0.019780 3011.707275:0.031409 3097.756104:0.029083 3226.829346:0.021596 
21.512196:0.020158 344.195129:0.394013 688.390259:0.681599 860.487793:0.017645 1011.073181:0.346737 1355.268311:0.068710 1677.951172:0.130908 2022.146362:0.181610 2366.341553:0.072018 2732.048828:0.035302 2882.634033:0.019105 2947.170654:0.019455 3011.707275:0.036900 3097.756104:0.029797 3226.829346:0.019403 3377.414551:0.013908 
21.512196:0.016323 344.195129:0.347672 688.390259:0.576588 860.487793:0.022273 1011.073181:0.470318 1333.756104:0.108016 1656.438965:0.178256 2000.634155:0.184234 2366.341553:0.048774 2689.024414:0.033343 2947.170654:0.018303 3011.707275:0.035758 3097.756104:0.026029 3162.292725:0.033372 3205.317139:0.020839 4280.926758:0.016199 
322.682922:0.328292 666.878052:0.528386 860.487793:0.022817 1011.073181:0.525473 1312.243896:0.149245 1656.438965:0.218065 2000.634155:0.170489 2344.829346:0.030603 2667.512207:0.031034 2904.146240:0.021843 2947.170654:0.023293 2990.195068:0.033124 3097.756104:0.020867 3162.292725:0.035810 3377.414551:0.012696 4280.926758:0.016527 
322.682922:0.343258 666.878052:0.457386 882.000000:0.018698 989.560974:0.598609 1204.682983:0.015373 1312.243896:0.222804 1634.926880:0.253494 1979.121948:0.136384 2323.317139:0.022057 2646.000000:0.025143 2947.170654:0.030949 2990.195068:0.028335 3097.756104:0.015305 3183.804932:0.029354 4044.292725:0.017797 4302.438965:0.016571 
322.682922:0.339812 645.365845:0.342902 989.560974:0.623486 1290.731689:0.281155 1613.414673:0.253003 1979.121948:0.095681 2301.804932:0.017529 2624.487793:0.021106 2925.658447:0.038001 3140.780518:0.019763 3205.317139:0.020765 3312.877930:0.016836 4022.780518:0.021510 4130.341309:0.016387 4237.902344:0.019123 4323.951172:0.018127 
322.682922:0.320032 645.365845:0.327944 968.048767:0.694886 1140.146362:0.015271 1290.731689:0.323674 1613.414673:0.232252 1957.609741:0.064325 2602.975586:0.016656 2925.658447:0.035300 3119.268311:0.017072 3312.877930:0.017027 3743.122070:0.016025 4022.780518:0.020860 4151.853516:0.020539 4237.902344:0.018808 4302.438965:0.016285 
43.024391:0.014719 322.682922:0.289752 645.365845:0.271667 968.048767:0.647171 1269.219482:0.387301 1591.902466:0.199190 1936.097534:0.039700 2904.146240:0.025379 3119.268311:0.016472 3162.292725:0.014398 3312.877930:0.014737 3743.122070:0.016143 4022.780518:0.015200 4151.853516:0.019104 4237.902344:0.014640 4302.438965:0.015214 
43.024391:0.013714 322.682922:0.253233 387.219513:0.010908 623.853638:0.235062 946.536560:0.657477 1247.707275:0.433159 1570.390259:0.142141 1914.585327:0.025787 2882.634033:0.016225 3054.731689:0.010393 3119.268311:0.020043 3162.292725:0.015883 3743.122070:0.013143 3958.243896:0.010832 4130.341309:0.013897 4280.926758:0.013889 
43.024391:0.011469 301.170746:0.248885 623.853638:0.219185 752.926819:0.013693 925.024414:0.576751 1054.097534:0.013310 1097.121948:0.021492 1226.195068:0.441062 1398.292725:0.011956 1570.390259:0.103339 1893.073120:0.016866 2861.122070:0.009573 3119.268311:0.022088 3183.804932:0.013707 4130.341309:0.010077 4280.926758:0.010011 
301.170746:0.275989 602.341492:0.197134 731.414612:0.011468 774.439026:0.011612 925.024414:0.533692 1032.585327:0.020800 1226.195068:0.436723 1398.292725:0.012445 1548.878052:0.076652 1850.048828:0.011474 3119.268311:0.019372 3183.804932:0.009858 3248.341553:0.008960 3807.658447:0.009188 3936.731689:0.009820 4001.268311:0.007816 
215.121948:0.009717 301.170746:0.288609 602.341492:0.185639 709.902466:0.009955 903.512207:0.491864 1011.073181:0.024395 1075.609741:0.024160 1204.682983:0.429023 1376.780518:0.017895 1505.853638:0.058914 1828.536621:0.009168 3097.756104:0.014837 3248.341553:0.011502 3786.146240:0.010122 3915.219482:0.012914 4001.268311:0.009543 
64.536583:0.009881 301.170746:0.279463 580.829285:0.199828 882.000000:0.436709 1032.585327:0.020032 1161.658569:0.427075 1376.780518:0.032339 1462.829224:0.054887 1720.975586:0.010860 3097.756104:0.009849 3140.780518:0.013006 3248.341553:0.012026 3441.951172:0.010314 3786.146240:0.011016 3936.731689:0.014229 4216.390137:0.010354 
279.658539:0.327327 559.317078:0.199198 860.487793:0.393450 989.560974:0.017839 1140.146362:0.435325 1312.243896:0.020093 1419.804932:0.060792 1677.951172:0.012865 3162.292725:0.012951 3248.341553:0.010271 3312.877930:0.011826 3398.926758:0.012331 3786.146240:0.009799 3936.731689:0.013734 4151.853516:0.011246 4216.390137:0.009811 
86.048782:0.010631 279.658539:0.365484 559.317078:0.225031 838.975586:0.369168 1118.634155:0.420183 1376.780518:0.076843 1677.951172:0.014402 3162.292725:0.011458 3269.853760:0.011815 3312.877930:0.015281 3398.926758:0.013369 3441.951172:0.010419 3764.634033:0.007352 3936.731689:0.011495 4151.853516:0.013458 4259.414551:0.010776 
21.512196:0.012191 86.048782:0.010709 279.658539:0.371709 537.804871:0.244400 817.463440:0.352651 1097.121948:0.399074 1355.268311:0.086745 1613.414673:0.016199 3162.292725:0.009451 3312.877930:0.014981 3398.926758:0.012633 3441.951172:0.010599 3936.731689:0.008694 4151.853516:0.013620 4259.414551:0.012115 4345.463379:0.007977 
21.512196:0.008335 86.048782:0.008704 258.146332:0.347470 537.804871:0.268684 795.951233:0.339569 925.024414:0.015147 1075.609741:0.372572 1333.756104:0.103168 1591.902466:0.017695 3183.804932:0.009716 3291.365967:0.013389 3355.902344:0.008988 3398.926758:0.010493 3441.951172:0.011385 4151.853516:0.011214 4280.926758:0.010798 
86.048782:0.005886 258.146332:0.400256 516.292664:0.299083 774.439026:0.310159 1054.097534:0.327117 1312.243896:0.111358 1570.390259:0.020144 1828.536621:0.007663 3183.804932:0.009612 3248.341553:0.008387 3312.877930:0.009025 3420.438965:0.011741 3958.243896:0.007320 4173.365723:0.006706 4280.926758:0.008960 4345.463379:0.005964 
64.536583:0.005189 258.146332:0.422545 516.292664:0.325511 645.365845:0.004905 774.439026:0.308735 1032.585327:0.271471 1290.731689:0.122370 1527.365845:0.021845 1807.024414:0.007513 3183.804932:0.007739 3226.829346:0.005487 3312.877930:0.009711 3420.438965:0.010910 3463.463379:0.009396 3958.243896:0.005564 4280.926758:0.006060 
64.536583:0.005736 129.073166:0.005790 258.146332:0.403751 494.780487:0.339211 752.926819:0.295601 1032.585327:0.213062 1269.219482:0.117312 1505.853638:0.026257 1742.487793:0.008632 2043.658569:0.004719 3140.780518:0.004567 3183.804932:0.005544 3312.877930:0.010407 3420.438965:0.008310 3463.463379:0.005950 3528.000000:0.003966 
64.536583:0.005034 107.560974:0.004773 150.585373:0.005131 236.634140:0.394421 494.780487:0.355904 731.414612:0.267074 989.560974:0.168073 1247.707275:0.105043 1462.829224:0.029575 1677.951172:0.011458 1936.097534:0.004292 3140.780518:0.003728 3183.804932:0.004510 3312.877930:0.008819 3420.438965:0.005339 3506.487793:0.004908 
86.048782:0.005519 236.634140:0.429573 344.195129:0.004029 473.268280:0.362794 731.414612:0.235569 968.048767:0.135651 1226.195068:0.089470 1441.317017:0.036649 1677.951172:0.014521 1914.585327:0.005032 3162.292725:0.004324 3226.829346:0.002886 3269.853760:0.006728 3334.390137:0.007604 3420.438965:0.003678 3506.487793:0.004312 
21.512196:0.007781 86.048782:0.005278 236.634140:0.414408 365.707306:0.007046 473.268280:0.363353 602.341492:0.006095 709.902466:0.201479 838.975586:0.004356 968.048767:0.105259 1204.682983:0.069139 1441.317017:0.037668 1548.878052:0.006041 1656.438965:0.015073 1914.585327:0.004741 3269.853760:0.004842 3334.390137:0.006221 
21.512196:0.006594 107.560974:0.005379 236.634140:0.355218 322.682922:0.006400 451.756104:0.301165 580.829285:0.007611 688.390259:0.143226 795.951233:0.007318 860.487793:0.004956 946.536560:0.075919 1097.121948:0.005992 1183.170776:0.046446 1312.243896:0.007266 1441.317017:0.029139 1570.390259:0.007022 1656.438965:0.012533 
