64.536583:0.000537 236.634140:0.004686 387.219513:0.000646 473.268280:0.000779 645.365845:0.000176 688.390259:0.000181 882.000000:0.000052 946.536560:0.000060 1032.585327:0.000015 1097.121948:0.000021 1204.682983:0.000020 1419.804932:0.000015 4711.170898:0.000011 9572.926758:0.000012 9788.048828:0.000012 10067.707031:0.000015 
236.634140:0.818295 451.756104:0.298813 688.390259:0.060857 2968.682861:0.075120 3183.804932:0.254545 3420.438965:0.167934 3657.073242:0.086936 3786.146240:0.078480 3872.195068:0.111117 4001.268311:0.039642 4044.292725:0.051674 4108.829102:0.041792 4194.877930:0.050219 4302.438965:0.045209 4496.048828:0.052722 4582.097656:0.041382 
236.634140:0.832243 451.756104:0.288639 688.390259:0.061952 2990.195068:0.072552 3205.317139:0.283041 3441.951172:0.156967 3678.585449:0.093686 3786.146240:0.057853 3893.707275:0.104441 4001.268311:0.047254 4044.292725:0.040667 4087.317139:0.046671 4194.877930:0.051626 4366.975586:0.043507 4496.048828:0.052539 4582.097656:0.042395 
236.634140:0.844135 451.756104:0.279170 688.390259:0.061714 2990.195068:0.086909 3205.317139:0.243884 3441.951172:0.143024 3678.585449:0.092418 3786.146240:0.036811 3893.707275:0.070780 4001.268311:0.058275 4087.317139:0.043732 4194.877930:0.050479 4366.975586:0.054859 4410.000000:0.052186 4474.536621:0.043328 4603.609863:0.046877 
236.634140:0.855655 451.756104:0.269620 688.390259:0.059923 2990.195068:0.084221 3226.829346:0.249656 3463.463379:0.122802 3614.048828:0.024445 3700.097656:0.074822 3915.219482:0.043335 4001.268311:0.058546 4087.317139:0.032840 4194.877930:0.041489 4388.487793:0.065057 4496.048828:0.035182 4603.609863:0.043290 4668.146484:0.025625 
236.634140:0.869078 473.268280:0.267029 688.390259:0.055934 925.024414:0.023907 3011.707275:0.091621 3226.829346:0.198084 3463.463379:0.098250 3700.097656:0.072835 3829.170654:0.023487 3979.756104:0.054696 4065.804932:0.040175 4216.390137:0.044174 4410.000000:0.063058 4496.048828:0.030574 4603.609863:0.034991 4668.146484:0.024156 
236.634140:0.884322 473.268280:0.277478 709.902466:0.050825 925.024414:0.023702 3011.707275:0.081190 3248.341553:0.167142 3484.975586:0.077981 3721.609863:0.065053 3807.658447:0.033084 3958.243896:0.049201 4065.804932:0.043966 4151.853516:0.027358 4216.390137:0.042277 4410.000000:0.047776 4496.048828:0.023908 4603.609863:0.026299 
236.634140:0.897891 473.268280:0.281987 709.902466:0.053381 946.536560:0.023874 3033.219482:0.082540 3269.853760:0.129624 3506.487793:0.061434 3721.609863:0.044048 3807.658447:0.041186 3893.707275:0.024216 3958.243896:0.042170 4065.804932:0.039030 4151.853516:0.027671 4216.390137:0.038295 4410.000000:0.028031 4582.097656:0.019388 
236.634140:0.906118 473.268280:0.278389 709.902466:0.053433 946.536560:0.027013 2581.463379:0.014984 2818.097656:0.018850 3054.731689:0.072599 3291.365967:0.097093 3528.000000:0.051472 3743.122070:0.026007 3807.658447:0.041991 3936.731689:0.031778 4044.292725:0.033609 4151.853516:0.026317 4216.390137:0.033842 4582.097656:0.014059 
236.634140:0.908314 473.268280:0.265157 709.902466:0.050386 946.536560:0.028111 2581.463379:0.012753 2818.097656:0.016321 3054.731689:0.064010 3291.365967:0.080582 3528.000000:0.045031 3807.658447:0.034270 3915.219482:0.026149 4044.292725:0.024727 4151.853516:0.023911 4216.390137:0.027059 4302.438965:0.011926 4646.634277:0.011702 
236.634140:0.901744 473.268280:0.238539 709.902466:0.042555 946.536560:0.025099 2602.975586:0.011320 2839.609863:0.012159 3054.731689:0.043017 3291.365967:0.050923 3528.000000:0.030265 3657.073242:0.009879 3807.658447:0.023354 3893.707275:0.017861 3958.243896:0.015180 4044.292725:0.014348 4173.365723:0.019730 4302.438965:0.010610 
129.073166:0.009731 236.634140:0.875521 365.707306:0.010616 408.731720:0.012227 473.268280:0.194705 731.414612:0.039259 968.048767:0.025066 3076.243896:0.023933 3291.365967:0.026462 3377.414551:0.021367 3528.000000:0.017429 3635.561035:0.008843 3807.658447:0.012584 3893.707275:0.009478 4173.365723:0.015310 4302.438965:0.008086 
107.560974:0.008346 150.585373:0.012627 236.634140:0.812420 344.195129:0.013457 387.219513:0.010637 494.780487:0.198730 731.414612:0.032355 989.560974:0.024312 3076.243896:0.009703 3140.780518:0.011920 3291.365967:0.010986 3377.414551:0.019773 3528.000000:0.009078 3571.024414:0.006785 3635.561035:0.006773 4173.365723:0.007666 
43.024391:0.006871 129.073166:0.008755 258.146332:0.806462 365.707306:0.008544 494.780487:0.171302 752.926819:0.030977 1011.073181:0.024093 1269.219482:0.005038 2387.853760:0.002973 3140.780518:0.007172 3291.365967:0.003867 3377.414551:0.012796 3528.000000:0.004287 3635.561035:0.003888 3807.658447:0.003118 4323.951172:0.002778 
86.048782:0.006981 258.146332:0.880837 408.731720:0.007116 516.292664:0.153016 666.878052:0.002286 774.439026:0.028267 903.512207:0.002110 1032.585327:0.022819 1290.731689:0.004991 1548.878052:0.002234 2387.853760:0.002191 3140.780518:0.002695 3291.365967:0.002569 3377.414551:0.006719 3463.463379:0.002713 3549.512207:0.002209 
86.048782:0.009938 129.073166:0.005698 258.146332:0.897238 365.707306:0.005104 516.292664:0.131760 795.951233:0.023889 903.512207:0.002086 1032.585327:0.019755 1290.731689:0.004218 1570.390259:0.002114 2129.707275:0.001976 2280.292725:0.001456 2323.317139:0.001314 2387.853760:0.001774 3377.414551:0.002970 3549.512207:0.001310 
21.512196:0.001830 86.048782:0.012500 258.146332:0.856514 408.731720:0.007431 537.804871:0.101205 688.390259:0.000925 795.951233:0.019551 1054.097534:0.017323 1333.756104:0.003280 1591.902466:0.001770 1871.561035:0.000823 2151.219482:0.001729 2194.243896:0.001646 2237.268311:0.000876 2409.365967:0.001598 3355.902344:0.001113 
86.048782:0.015351 150.585373:0.007412 279.658539:0.795268 365.707306:0.009606 430.243896:0.009855 537.804871:0.081351 688.390259:0.000950 817.463440:0.018473 925.024414:0.001159 1075.609741:0.014440 1355.268311:0.002693 1613.414673:0.001362 1871.561035:0.000660 1979.121948:0.000700 2194.243896:0.001743 2430.877930:0.001296 
86.048782:0.017163 172.097565:0.006268 279.658539:0.871602 408.731720:0.007262 473.268280:0.009696 559.317078:0.062836 645.365845:0.002751 838.975586:0.019398 925.024414:0.001650 1097.121948:0.011291 1376.780518:0.002116 1634.926880:0.000917 1979.121948:0.000908 2043.658569:0.000559 2258.780518:0.001651 2452.390137:0.001015 
86.048782:0.017495 279.658539:0.900627 365.707306:0.008972 408.731720:0.006510 451.756104:0.010623 559.317078:0.055856 645.365845:0.003580 860.487793:0.020225 1011.073181:0.001124 1140.146362:0.011005 1376.780518:0.001546 1419.804932:0.001737 1720.975586:0.000865 2000.634155:0.001039 2258.780518:0.001804 2495.414551:0.000826 
86.048782:0.015472 279.658539:0.884568 365.707306:0.008774 473.268280:0.013376 516.292664:0.007876 580.829285:0.056328 666.878052:0.003217 752.926819:0.001342 795.951233:0.002245 860.487793:0.024921 946.536560:0.001229 1140.146362:0.012773 1441.317017:0.002011 1720.975586:0.001096 2000.634155:0.001582 2280.292725:0.002009 
21.512196:0.002798 86.048782:0.010777 279.658539:0.834685 387.219513:0.006517 473.268280:0.016241 580.829285:0.062057 688.390259:0.002383 731.414612:0.002991 860.487793:0.025095 1011.073181:0.000611 1161.658569:0.012892 1376.780518:0.000609 1441.317017:0.002239 1720.975586:0.001065 2022.146362:0.001809 2301.804932:0.001999 
64.536583:0.009883 107.560974:0.007049 172.097565:0.007997 279.658539:0.762224 408.731720:0.008068 473.268280:0.019327 580.829285:0.062416 645.365845:0.003683 688.390259:0.003540 731.414612:0.005066 860.487793:0.021545 1054.097534:0.001860 1161.658569:0.012981 1462.829224:0.002140 2022.146362:0.001819 2301.804932:0.001548 
64.536583:0.009375 107.560974:0.006436 150.585373:0.004033 193.609756:0.008967 279.658539:0.673797 408.731720:0.007020 473.268280:0.019992 580.829285:0.057776 752.926819:0.006063 860.487793:0.015957 946.536560:0.005439 1075.609741:0.003258 1161.658569:0.011459 1290.731689:0.001300 1462.829224:0.002312 2022.146362:0.001487 
86.048782:0.008781 215.121948:0.015129 301.170746:0.629810 473.268280:0.018842 580.829285:0.048303 666.878052:0.004914 774.439026:0.006656 882.000000:0.012102 925.024414:0.005107 968.048767:0.005550 1075.609741:0.004468 1161.658569:0.009238 1290.731689:0.001898 1462.829224:0.002387 1548.878052:0.001714 2022.146362:0.001013 
107.560974:0.007987 301.170746:0.549520 473.268280:0.015903 580.829285:0.036008 774.439026:0.005866 882.000000:0.009884 968.048767:0.004912 1054.097534:0.005241 1161.658569:0.006638 1290.731689:0.002721 1398.292725:0.001184 1462.829224:0.002876 1548.878052:0.002353 1677.951172:0.001180 1742.487793:0.001578 1785.512207:0.001814 
64.536583:0.005779 107.560974:0.006623 301.170746:0.441140 473.268280:0.012142 580.829285:0.024367 774.439026:0.004759 817.463440:0.004885 882.000000:0.008522 989.560974:0.004294 1054.097534:0.005807 1183.170776:0.005104 1290.731689:0.003721 1462.829224:0.003122 1548.878052:0.004287 1720.975586:0.003416 1807.024414:0.003235 
107.560974:0.004900 301.170746:0.328638 473.268280:0.008340 602.341492:0.018640 817.463440:0.005772 882.000000:0.006791 946.536560:0.004255 989.560974:0.005158 1054.097534:0.006513 1183.170776:0.005004 1290.731689:0.004468 1376.780518:0.004440 1548.878052:0.010349 1720.975586:0.007619 1807.024414:0.005534 4022.780518:0.004513 
301.170746:0.230909 473.268280:0.004885 602.341492:0.013941 817.463440:0.005429 989.560974:0.007938 1054.097534:0.007341 1269.219482:0.005477 1398.292725:0.007425 1548.878052:0.018129 1720.975586:0.011602 1828.536621:0.006457 1914.585327:0.005505 3571.024414:0.004753 3958.243896:0.006488 4022.780518:0.006908 4087.317139:0.005669 
279.658539:0.160803 387.219513:0.007022 602.341492:0.009656 968.048767:0.011793 1054.097534:0.007971 1247.707275:0.005414 1398.292725:0.009492 1548.878052:0.021496 1656.438965:0.018953 1720.975586:0.014799 1828.536621:0.006478 1914.585327:0.006856 3571.024414:0.005955 3958.243896:0.009239 4022.780518:0.008478 4108.829102:0.006851 
279.658539:0.104167 365.707306:0.007689 968.048767:0.015161 1054.097534:0.007115 1226.195068:0.007755 1290.731689:0.006716 1398.292725:0.010178 1505.853638:0.020907 1570.390259:0.021262 1656.438965:0.032380 1720.975586:0.019976 1850.048828:0.007349 1914.585327:0.006811 3958.243896:0.010020 4022.780518:0.009309 4108.829102:0.006793 
279.658539:0.054629 387.219513:0.008266 968.048767:0.015644 1140.146362:0.006875 1247.707275:0.009757 1290.731689:0.008089 1376.780518:0.008992 1505.853638:0.020697 1570.390259:0.016215 1656.438965:0.040322 1720.975586:0.025400 1850.048828:0.007337 3979.756104:0.009106 4022.780518:0.008873 4108.829102:0.006722 4173.365723:0.007192 
258.146332:0.021622 301.170746:0.020541 968.048767:0.013903 1140.146362:0.007927 1247.707275:0.010881 1290.731689:0.009648 1355.268311:0.015993 1419.804932:0.011433 1484.341431:0.023563 1548.878052:0.008921 1634.926880:0.033197 1677.951172:0.045551 3807.658447:0.007062 3979.756104:0.010119 4173.365723:0.008553 4302.438965:0.007854 
946.536560:0.011749 1161.658569:0.010004 1247.707275:0.011215 1290.731689:0.009371 1355.268311:0.024179 1419.804932:0.014503 1484.341431:0.022990 1634.926880:0.032904 1677.951172:0.049476 1828.536621:0.011240 1893.073120:0.007833 3807.658447:0.008984 3979.756104:0.011308 4087.317139:0.012138 4151.853516:0.007623 4302.438965:0.009712 
946.536560:0.009499 1161.658569:0.009797 1247.707275:0.010603 1355.268311:0.028671 1441.317017:0.017758 1548.878052:0.036925 1613.414673:0.045064 1677.951172:0.044326 1828.536621:0.014437 1893.073120:0.009319 3786.146240:0.011227 3979.756104:0.013356 4087.317139:0.017206 4151.853516:0.010491 4280.926758:0.009563 4366.975586:0.008728 
1247.707275:0.009303 1376.780518:0.028960 1462.829224:0.021356 1548.878052:0.054466 1613.414673:0.046774 1677.951172:0.032993 1742.487793:0.017069 1828.536621:0.016201 3786.146240:0.012002 3872.195068:0.009901 3979.756104:0.013784 4065.804932:0.023028 4151.853516:0.014175 4280.926758:0.010869 4323.951172:0.008610 4366.975586:0.009177 
1290.731689:0.011672 1376.780518:0.029574 1462.829224:0.038628 1548.878052:0.057616 1634.926880:0.048923 1677.951172:0.022380 1828.536621:0.015614 3291.365967:0.008132 3764.634033:0.009643 3872.195068:0.012704 3958.243896:0.011937 4065.804932:0.022380 4151.853516:0.019440 4280.926758:0.010998 4323.951172:0.008772 4388.487793:0.009704 
1269.219482:0.013660 1333.756104:0.016602 1376.780518:0.031448 1462.829224:0.049278 1505.853638:0.050051 1634.926880:0.042401 1720.975586:0.020451 1828.536621:0.013084 3291.365967:0.009789 3850.682861:0.014203 3958.243896:0.012982 4022.780518:0.016745 4065.804932:0.016983 4151.853516:0.025096 4259.414551:0.012991 4323.951172:0.010587 
1075.609741:0.012586 1269.219482:0.016276 1376.780518:0.035225 1484.341431:0.056186 1570.390259:0.030303 1613.414673:0.038326 1720.975586:0.019253 3183.804932:0.011003 3291.365967:0.010767 3850.682861:0.013054 3958.243896:0.015140 4001.268311:0.018091 4065.804932:0.010530 4151.853516:0.026487 4259.414551:0.015918 4323.951172:0.011303 
1097.121948:0.013163 1269.219482:0.019922 1376.780518:0.035158 1462.829224:0.052092 1570.390259:0.032400 1613.414673:0.043332 1656.438965:0.023297 1720.975586:0.013877 3183.804932:0.011077 3291.365967:0.011030 3850.682861:0.010248 3979.756104:0.018604 4065.804932:0.010134 4173.365723:0.022561 4259.414551:0.018393 4345.463379:0.009723 
1118.634155:0.013783 1269.219482:0.024981 1355.268311:0.029989 1462.829224:0.038101 1527.365845:0.038427 1613.414673:0.048000 1656.438965:0.022246 1785.512207:0.012615 3183.804932:0.010491 3291.365967:0.010555 3915.219482:0.009198 3979.756104:0.019442 4065.804932:0.014242 4108.829102:0.012132 4173.365723:0.018814 4259.414551:0.019387 
1140.146362:0.015145 1269.219482:0.028049 1312.243896:0.025650 1376.780518:0.019549 1419.804932:0.028019 1527.365845:0.047599 1591.902466:0.057071 1677.951172:0.020720 1785.512207:0.015823 3183.804932:0.012388 3269.853760:0.008786 3893.707275:0.012236 4001.268311:0.014902 4087.317139:0.019193 4173.365723:0.013346 4259.414551:0.018146 
1032.585327:0.011409 1140.146362:0.020168 1269.219482:0.028662 1312.243896:0.026052 1376.780518:0.017835 1419.804932:0.024992 1527.365845:0.053093 1591.902466:0.050452 1699.463379:0.015257 1785.512207:0.017202 3183.804932:0.014436 3893.707275:0.015851 4001.268311:0.012652 4108.829102:0.023195 4173.365723:0.011335 4237.902344:0.013319 
1032.585327:0.017635 1140.146362:0.019691 1269.219482:0.025873 1312.243896:0.025443 1398.292725:0.032450 1441.317017:0.013604 1527.365845:0.052318 1613.414673:0.040487 1720.975586:0.015955 1785.512207:0.015816 3183.804932:0.013483 3893.707275:0.014327 4001.268311:0.011928 4108.829102:0.026336 4173.365723:0.013797 4237.902344:0.010200 
215.121948:0.013365 1032.585327:0.021924 1075.609741:0.020941 1118.634155:0.019936 1183.170776:0.023193 1269.219482:0.019734 1312.243896:0.026805 1398.292725:0.045446 1527.365845:0.045737 1613.414673:0.024923 1720.975586:0.017036 1785.512207:0.011160 3915.219482:0.013669 4001.268311:0.012484 4108.829102:0.022897 4151.853516:0.017887 
215.121948:0.061072 903.512207:0.015606 1032.585327:0.030632 1075.609741:0.037560 1140.146362:0.023587 1183.170776:0.027657 1333.756104:0.037360 1398.292725:0.046832 1527.365845:0.039740 1570.390259:0.025009 1634.926880:0.018699 1720.975586:0.014159 3936.731689:0.013951 3979.756104:0.012166 4087.317139:0.019350 4173.365723:0.019112 
215.121948:0.147256 430.243896:0.021389 645.365845:0.022298 925.024414:0.031583 1032.585327:0.047612 1075.609741:0.074225 1140.146362:0.062987 1204.682983:0.022199 1247.707275:0.017709 1333.756104:0.045816 1376.780518:0.047166 1419.804932:0.053589 1484.341431:0.030220 1527.365845:0.037600 1570.390259:0.023596 4173.365723:0.017278 
86.048782:0.014735 215.121948:0.248356 344.195129:0.014686 430.243896:0.038780 645.365845:0.038422 860.487793:0.030681 925.024414:0.059086 1097.121948:0.115310 1140.146362:0.129002 1204.682983:0.071318 1333.756104:0.051937 1376.780518:0.050403 1419.804932:0.073128 1505.853638:0.044610 4065.804932:0.010880 4173.365723:0.012408 
21.512196:0.009168 86.048782:0.014035 215.121948:0.324348 344.195129:0.013644 408.731720:0.050345 623.853638:0.050979 838.975586:0.050237 946.536560:0.099440 1054.097534:0.115739 1097.121948:0.146689 1161.658569:0.202395 1312.243896:0.042978 1419.804932:0.097431 1505.853638:0.051749 1570.390259:0.018905 1677.951172:0.008472 
21.512196:0.011173 86.048782:0.009602 215.121948:0.338134 408.731720:0.064831 623.853638:0.054246 709.902466:0.016140 795.951233:0.075177 903.512207:0.041796 968.048767:0.146744 1032.585327:0.127454 1118.634155:0.168882 1183.170776:0.323824 1312.243896:0.069546 1398.292725:0.125172 1505.853638:0.049854 1677.951172:0.011026 
21.512196:0.011535 193.609756:0.309498 387.219513:0.064146 602.341492:0.055067 774.439026:0.088327 903.512207:0.067250 968.048767:0.209806 1118.634155:0.226728 1183.170776:0.378587 1312.243896:0.128851 1376.780518:0.134373 1462.829224:0.047812 1505.853638:0.047539 1677.951172:0.012689 1785.512207:0.009911 3183.804932:0.006891 
21.512196:0.011199 193.609756:0.301549 387.219513:0.072887 580.829285:0.052138 774.439026:0.089704 968.048767:0.214562 1118.634155:0.291402 1183.170776:0.349937 1226.195068:0.202983 1290.731689:0.191743 1419.804932:0.092794 1462.829224:0.048759 1505.853638:0.048570 1634.926880:0.011968 1677.951172:0.013041 1785.512207:0.011642 
21.512196:0.009920 193.609756:0.258986 365.707306:0.077835 559.317078:0.049423 731.414612:0.089042 946.536560:0.184108 1011.073181:0.112501 1097.121948:0.317426 1226.195068:0.221223 1269.219482:0.239010 1376.780518:0.116285 1419.804932:0.078898 1484.341431:0.049389 1570.390259:0.021115 1634.926880:0.016545 1764.000000:0.011341 
21.512196:0.008456 172.097565:0.213662 365.707306:0.082634 537.804871:0.050406 709.902466:0.094700 903.512207:0.170814 1075.609741:0.317437 1161.658569:0.189186 1247.707275:0.296741 1376.780518:0.098505 1419.804932:0.068987 1570.390259:0.028693 1699.463379:0.008608 1764.000000:0.011008 1936.097534:0.004829 3226.829346:0.004489 
21.512196:0.008832 172.097565:0.222282 344.195129:0.093110 516.292664:0.052966 688.390259:0.097533 882.000000:0.164727 1054.097534:0.314470 1204.682983:0.344985 1333.756104:0.109154 1376.780518:0.090657 1527.365845:0.031175 1570.390259:0.027764 1656.438965:0.013180 1699.463379:0.010620 1764.000000:0.008876 3248.341553:0.005998 
21.512196:0.010848 172.097565:0.217237 344.195129:0.100350 516.292664:0.053236 688.390259:0.100165 860.487793:0.156367 1011.073181:0.317717 1097.121948:0.142812 1183.170776:0.362395 1333.756104:0.119960 1484.341431:0.032606 1527.365845:0.031856 1613.414673:0.014932 1656.438965:0.014988 3119.268311:0.007050 3269.853760:0.007785 
21.512196:0.012699 172.097565:0.203977 322.682922:0.098307 494.780487:0.060594 666.878052:0.101860 838.975586:0.147537 989.560974:0.325209 1161.658569:0.379004 1269.219482:0.148618 1312.243896:0.166745 1441.317017:0.039496 1484.341431:0.034497 1570.390259:0.019643 1613.414673:0.016413 1656.438965:0.014948 3269.853760:0.009114 
21.512196:0.013355 172.097565:0.186326 322.682922:0.116555 494.780487:0.058812 645.365845:0.100189 817.463440:0.149680 968.048767:0.329327 1140.146362:0.393072 1290.731689:0.204557 1441.317017:0.045459 1570.390259:0.019378 1613.414673:0.016944 1742.487793:0.008049 3097.756104:0.006494 3205.317139:0.008878 3248.341553:0.009199 
