150.585373:0.473558 236.634140:0.090584 86.048782:0.052998 301.170746:0.028859 537.804871:0.013265 387.219513:0.010893 473.268280:0.009406 623.853638:0.008935 709.902466:0.005260 774.439026:0.003467 1011.073181:0.003290 925.024414:0.002446 1183.170776:0.000852 1419.804932:0.000732 1097.121948:0.000693 1505.853638:0.000628 
150.585373:0.477865 236.634140:0.090774 64.536583:0.049109 301.170746:0.031176 537.804871:0.012968 387.219513:0.010158 473.268280:0.008751 623.853638:0.008254 709.902466:0.005125 774.439026:0.003181 1011.073181:0.002959 925.024414:0.002216 1419.804932:0.000759 1097.121948:0.000750 1183.170776:0.000670 1333.756104:0.000563 
150.585373:0.479791 236.634140:0.085457 64.536583:0.048113 301.170746:0.032142 537.804871:0.012630 387.219513:0.010683 623.853638:0.008043 473.268280:0.008036 709.902466:0.004839 774.439026:0.002993 1011.073181:0.002708 946.536560:0.002052 1097.121948:0.000809 1419.804932:0.000788 1333.756104:0.000668 1591.902466:0.000603 
150.585373:0.484235 236.634140:0.086513 86.048782:0.056218 301.170746:0.029680 537.804871:0.011757 387.219513:0.010539 623.853638:0.008051 451.756104:0.007300 709.902466:0.004464 774.439026:0.002878 1011.073181:0.002427 925.024414:0.002042 1097.121948:0.000806 1419.804932:0.000799 1333.756104:0.000706 1591.902466:0.000575 
150.585373:0.488885 236.634140:0.083557 86.048782:0.063840 301.170746:0.028969 387.219513:0.011298 537.804871:0.010989 623.853638:0.007924 451.756104:0.006184 688.390259:0.004072 774.439026:0.002848 1011.073181:0.002246 925.024414:0.002008 1419.804932:0.000775 1097.121948:0.000708 1333.756104:0.000653 2667.512207:0.000597 
150.585373:0.488488 236.634140:0.087985 86.048782:0.060563 301.170746:0.026588 387.219513:0.011895 537.804871:0.010271 623.853638:0.007941 21.512196:0.006869 473.268280:0.005699 688.390259:0.004863 774.439026:0.002971 946.536560:0.001978 1011.073181:0.001957 1419.804932:0.000668 1097.121948:0.000584 1333.756104:0.000550 
150.585373:0.482389 236.634140:0.088172 86.048782:0.063485 301.170746:0.026568 387.219513:0.012451 537.804871:0.009925 623.853638:0.007538 473.268280:0.005779 688.390259:0.005209 774.439026:0.002890 946.536560:0.002111 1011.073181:0.001561 1419.804932:0.000505 1097.121948:0.000442 1333.756104:0.000436 2667.512207:0.000427 
150.585373:0.474277 236.634140:0.090705 86.048782:0.052601 301.170746:0.025377 387.219513:0.012901 21.512196:0.011355 537.804871:0.009935 623.853638:0.007235 473.268280:0.005817 688.390259:0.004967 774.439026:0.002966 946.536560:0.002176 1011.073181:0.001129 1161.658569:0.000378 1419.804932:0.000353 1097.121948:0.000351 
150.585373:0.474740 236.634140:0.087561 86.048782:0.054781 301.170746:0.025762 21.512196:0.016334 387.219513:0.012549 537.804871:0.009646 623.853638:0.006598 473.268280:0.005711 709.902466:0.004785 774.439026:0.002933 946.536560:0.002220 1032.585327:0.000825 1183.170776:0.000408 838.975586:0.000348 1484.341431:0.000277 
150.585373:0.483655 236.634140:0.085897 64.536583:0.052143 301.170746:0.025912 387.219513:0.012811 537.804871:0.009288 623.853638:0.006333 473.268280:0.005647 709.902466:0.004786 774.439026:0.003102 946.536560:0.002110 1032.585327:0.000728 860.487793:0.000463 1183.170776:0.000372 1247.707275:0.000272 1097.121948:0.000261 
